step,atom,atomic_num,molecule,solv_molecule,coord_x,coord_y,coord_z,elec_pot,mol_id,atom_id,system_energy,gas_energy,efp_energy,interaction_energy,system_energy_w/oEFP,corr_energy
1765,H,1,methanol,acetonitrile,-1.110069,0.012512,0.473105,0.01196238,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_153,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
1765,H,1,methanol,acetonitrile,-0.218079,-1.277916,-0.424309,0.00665758,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_154,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
1765,H,1,methanol,acetonitrile,0.355923,1.471319,-0.459391,0.00692922,mol2_acetonitrile_1078_s_acetonitrile_15,mol2_acetonitrile_1078_s_acetonitrile_155,-115.674866,-115.6727468,-0.002929313,-0.00211923,-115.6719367,0.000810082
1766,C,6,methanol,acetonitrile,-0.08895,-0.29858,0.10713,0.00272331,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_250,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1766,O,8,methanol,acetonitrile,0.606085,0.59127,-0.789136,-5.53E-05,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_251,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1766,H,1,methanol,acetonitrile,0.466656,-0.510244,1.079293,0.00283763,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_252,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1766,H,1,methanol,acetonitrile,-1.110069,0.012512,0.473105,0.00573778,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_253,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1766,H,1,methanol,acetonitrile,-0.218079,-1.277916,-0.424309,0.00178896,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_254,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1766,H,1,methanol,acetonitrile,0.355923,1.471319,-0.459391,4.88E-05,mol2_acetonitrile_1078_s_acetonitrile_25,mol2_acetonitrile_1078_s_acetonitrile_255,-115.6758368,-115.6727468,-0.003632604,-0.00309006,-115.6722042,0.000542544
1768,C,6,methanol,acetonitrile,-0.12468,-0.29537,0.11243,0.00859543,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_150,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
1768,O,8,methanol,acetonitrile,0.598061,0.574583,-0.80339,0.0057877,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_151,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
1768,H,1,methanol,acetonitrile,0.458266,-0.456991,1.062089,0.00905606,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_152,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
1768,H,1,methanol,acetonitrile,-1.095688,-0.009462,0.502943,0.01204428,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_153,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
1768,H,1,methanol,acetonitrile,-0.229649,-1.268581,-0.392488,0.00679475,mol2_acetonitrile_1082_s_acetonitrile_15,mol2_acetonitrile_1082_s_acetonitrile_154,-115.6742552,-115.672332,-0.00273206,-0.00192314,-115.6715231,0.00080892
